timestamp,open (CNY),high (CNY),low (CNY),close (CNY),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2019-09-10,72406.53224000,72985.70972000,69949.68400000,70969.79820000,10302.58000000,10384.99000000,9953.00000000,10098.15000000,28915.41222500,28915.41222500
2019-09-09,72959.35472000,73653.44000000,70761.41800000,72410.32736000,10381.24000000,10480.00000000,10068.50000000,10303.12000000,39835.72760800,39835.72760800
2019-09-08,73484.06520000,74444.09000000,71741.82400000,72958.93304000,10455.90000000,10592.50000000,10208.00000000,10381.18000000,23984.67201800,23984.67201800
2019-09-07,72379.33388000,74201.62400000,72308.06996000,73483.92464000,10298.71000000,10558.00000000,10288.57000000,10455.88000000,27637.87739200,27637.87739200
2019-09-06,74237.67764000,76646.45436000,71334.20000000,72379.47444000,10563.13000000,10905.87000000,10150.00000000,10298.73000000,58799.64095900,58799.64095900
2019-09-05,74257.28576000,76605.20000000,73442.60000000,74247.23572000,10565.92000000,10900.00000000,10450.00000000,10564.49000000,33970.96063900,33970.96063900
2019-09-04,74580.08180000,75895.37200000,72879.58692000,74265.01656000,10611.85000000,10799.00000000,10369.89000000,10567.02000000,43943.88902600,43943.88902600
2019-09-03,72669.52000000,75712.64400000,72191.61600000,74604.18784000,10340.00000000,10773.00000000,10272.00000000,10615.28000000,47998.37678100,47998.37678100
2019-09-02,68337.39052000,73442.60000000,68259.45000000,72669.52000000,9723.59000000,10450.00000000,9712.50000000,10340.00000000,44740.24809300,44740.24809300
2019-09-01,67389.66472000,69085.24000000,66906.56000000,68347.15944000,9588.74000000,9830.00000000,9520.00000000,9724.98000000,19545.40484300,19545.40484300
2019-08-31,67347.63728000,68062.73628000,66209.03100000,67380.73916000,9582.76000000,9684.51000000,9420.75000000,9587.47000000,17130.29007400,17130.29007400
2019-08-30,66759.04228000,68143.48800000,65714.68148000,67360.14712000,9499.01000000,9696.00000000,9350.41000000,9584.54000000,26834.31810400,26834.31810400
2019-08-29,68319.18800000,68340.27200000,65500.96000000,66755.03632000,9721.00000000,9724.00000000,9320.00000000,9498.44000000,35532.69491000,35532.69491000
2019-08-28,71585.02932000,72381.37200000,67475.89828000,68319.18800000,10185.69000000,10299.00000000,9601.01000000,9721.00000000,42110.55537500,42110.55537500
2019-08-27,72905.66080000,73028.51024000,70638.99024000,71580.53140000,10373.60000000,10391.08000000,10051.08000000,10185.05000000,28402.77538300,28402.77538300
2019-08-26,71282.82532000,74524.91200000,71249.37204000,72896.17300000,10142.69000000,10604.00000000,10137.93000000,10372.25000000,41687.51159900,41687.51159900
2019-08-25,71226.03908000,72620.32400000,69626.18516000,71282.82532000,10134.61000000,10333.00000000,9906.97000000,10142.69000000,26271.65739800,26271.65739800
2019-08-24,73007.98848000,73227.68376000,69506.92000000,71224.21180000,10388.16000000,10419.42000000,9890.00000000,10134.35000000,27692.45684400,27692.45684400
2019-08-23,70982.09720000,73407.46000000,70419.08412000,73017.75740000,10099.90000000,10445.00000000,10019.79000000,10389.55000000,27550.33617300,27550.33617300
2019-08-22,71269.68296000,71980.77600000,68607.33600000,70981.95664000,10140.82000000,10242.00000000,9762.00000000,10099.88000000,34059.64273800,34059.64273800
2019-08-21,75624.86428000,75931.42564000,69282.02400000,71281.98196000,10760.51000000,10804.13000000,9858.00000000,10142.57000000,47355.71928200,47355.71928200
2019-08-20,76708.72244000,76956.31888000,74215.68000000,75624.86428000,10914.73000000,10949.96000000,10560.00000000,10760.51000000,32298.92167900,32298.92167900
2019-08-19,72431.76276000,76816.04000000,72097.44080000,76714.41512000,10306.17000000,10930.00000000,10258.60000000,10915.54000000,37243.31921700,37243.31921700
2019-08-18,71798.39940000,73794.00000000,70842.24000000,72436.04984000,10216.05000000,10500.00000000,10080.00000000,10306.78000000,24085.39517200,24085.39517200
2019-08-17,72607.32220000,73549.00392000,70280.00000000,71798.18856000,10331.15000000,10465.14000000,10000.00000000,10216.02000000,29000.58120100,29000.58120100
